Ville,Aire urbaine[52],Pôle urbain[53],Commune[54]
Paris,12 628 266,10 784 830,2 187 526
Lyon,2 323 221,1 659 001,516 092
Marseille et Aix-en-Provence,1 760 653,1 590 867,863 310 142 482
Toulouse,1 360 829,968 638,479 553
Bordeaux,1 247 977,927 445,254 436
Lille,1 191 117,1 043 621,232 787
Nice,1 006 201,942 886,340 017
Nantes,972 828,650 081,309 346
Strasbourg,790 087,467 438,280 966
Rennes,733 320,335 092,216 815
Grenoble,689 840,510 858,158 454
Rouen,666 035,467 575,110 145
Toulon,629 334,575 347,171 953
Montpellier,616 296,440 997,285 121
Douai et Lens,539 666,503 966,39 700 31 415
Avignon,530 267,457 684,91 921
Saint-Étienne,520 640,374 243,172 565
